EVERYTHING,,,,Pre-1900,1920s,1930s,1940s,1950s,1970s,1980s,1990s,2000s,2010,2011,2012,2013,2014,2015,2016,QUICK NAVIGATION & LEGEND,,,,"TIMELINE
PLACEMENT
LINKS",REALITY DESIGNATION
,,,,,,,,,,,,,,"Battle on the Iliad: Up to Bobbi saying Fury's orders were ""to save S.H.I.E.L.D. """,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.17,"Turn, Turn, Turn",,,,0:12:26,,0:14:16,,"S.H.I.E.L.D. agents being corralled down a hallway up to Trip giving Jemma his knife and saying for Jemma to ""fire that thing back up"" so they can share the ""good news"" with their friends",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.15,One Door Closes,,,,0:10:14,,0:11:16,,"Battle on the Iliad: Bobbi saying ""We're running out of time, Mack."" up to Gonzales revealing his injury to the team",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.15,One Door Closes,,,,0:21:38,,0:24:08,,"Battle on the Iliad: Gonzales receiving first aid up to Gonzales saying to Bobbi ""We're gonna help you finish this job.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.17,"Turn, Turn, Turn",,,,0:14:16,,0:20:05,,May waking up in restraints up to Skye backing up the system on a hard drive and Garrett saying they're working on buying her time,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.15,One Door Closes,,,,0:25:58,,0:27:02,,"Battle on the Iliad: Bobbi checking a corner before rounding it with the team following up to Bobbi saying ""We need to push on. We're running out of time.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.17,"Turn, Turn, Turn",,,,0:20:06,,0:32:14,,"Jemma saying ""I'm telling you, this signal is clogging everything up."" up to Garrett saying ""Hail HYDRA."" and his men repeating him",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Jemma's dialogue begins at 0:20:05.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.15,One Door Closes,,,,0:34:47,,0:36:40,,Battle on the Iliad: The team reaching the server room up to their decision to take back the ship and firing at the HYDRA forces breaching the server room,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.17,"Turn, Turn, Turn",,,,0:32:16,,0:42:22,,Garrett picking up a helmet up to the end of the episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: HYDRA logo at 0:41:47,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.18,Providence,,,,0:00:40,,0:39:54,,Up to Garrett beating Ward,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:01:44,,,,,,,,,,,
,Captain America: The Winter Soldier,,,,,,,,,2:01:04,,2:02:25,,Steve waking up in the hospital up to Rumlow being delivered to the hospital,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: This scene is placed here in order to give enough time for Rumlow to be found under the wreckage of the Triskelion.,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 2: ""Trouble Man"" by Marvin Gaye fades out into the next scene.",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.18,Providence,,,,0:39:55,,0:42:22,,Ward arriving at Providence up to the end of the episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: S.H.I.E.L.D. logo at 0:40:41,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.19,The Only Light in the Darkness,,,,0:00:49,,0:42:17,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:29 and S.H.I.E.L.D. logo at 0:40:27,,,,,,,,,,,
,Captain America: The Winter Soldier,,,,,,,,,2:02:29,,2:04:19,,"Fury arriving at his storage locker, Capitol Hill meeting up to Fury burning the items in his storage locker",,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Trouble Man"" by Marvin Gaye fades out at the beginning of this scene.",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.20,Nothing Personal,,,,0:00:47,,0:03:25,,Up to the FBI arriving and Maria Hill chastising them,,,,,,,,,,,
,Captain America: The Winter Soldier,,,,,,,,,2:04:19,,2:06:14,,Fury meeting Steve and Sam at his grave up to the end of the movie,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.20,Nothing Personal,,,,0:03:29,,0:42:19,,"Aerial shot, ""Fury's Secret Base, Providence"" up to the end of the episode",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: S.H.I.E.L.D. logo at 0:39:57,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.21,Ragtag,,,,0:03:15,,0:09:09,,NOTE: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,The team in a motel room watching the news up to Fitz setting the drapes on fire,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.21,Ragtag,,,,0:11:00,,0:17:13,,Exterior of Cybertek up to Coulson and May escaping,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.21,Ragtag,,,,0:17:36,,0:24:57,,"Ward confronting Garrett up to Raina talking to Ward about Skye and saying ""The baby's parents were the monsters.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Ward's dialogue begins at 0:17:34.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.21,Ragtag,,,,0:26:39,,0:29:51,,Raina overseeing the dismantling of the base and Garrett revealing to Ward that he is unnerved by her up to Ward finding Jemma and Fitz,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.21,Ragtag,,,,0:31:23,,0:32:49,,Ward delivering Jemma and Fitz to Garrett up to Ward commanding everyone out,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.21,Ragtag,,,,0:34:02,,0:36:44,,"Ward beginning to try and fix Garrett up to Jemma and Fitz in the Medical Pod and Fitz saying to Ward ""We're friends, aren't we?  We've been friends. We've had laughs together.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.21,Ragtag,,,,0:37:04,,0:38:00,,"Fitz saying ""I know that you're a good person, Ward"" up to Ward saying ""You're right. I do. It’s a weakness.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Fitz's dialogue begins at 0:37:03.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.21,Ragtag,,,,0:38:04,,0:40:00,,"Ward pulling the release on the Medical Pod up to Garrett convulsing and saying that he feels ""The universe.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.21,Ragtag,,,,0:40:53,,0:42:17,,Aerial view of the Washington Monument up to the end of the episode,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.21,Ragtag,,,,0:40:00,,0:40:47,,Trip scanning Garrett's abandoned base up to the team realizing they are surround by Centipede soldiers,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.22,Beginning of the End,,,,0:00:49,,0:13:26,,"Up to Ian Quinn's demonstration to the generals and him saying ""What we're offering you is security.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: Zeller's dialogue begins at 0:00:44.,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Title at 0:01:47,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.22,Beginning of the End,,,,0:21:00,,0:23:38,,Jemma and Fitz preparing to escape from the Medical Pod up to Fury rescuing them,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: This scene needs to happen earlier to account for travel time and Simmons to have been in decompression long enough to wake up.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.22,Beginning of the End,,,,0:13:26,,0:21:00,,"Coulson and Trip on lookout for a vehicle to hijack up to Deathlok telling Garrett he was told not to leave his side and Garrett replying ""I love you, too.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.22,Beginning of the End,,,,0:23:39,,0:38:31,,Jemma waking up in a hyperbaric chamber up to Fury leaving May and Coulson,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.16,Inside Voices,,,,0:40:43,,0:41:48,,Flashback: Ian Quinn and Raina in a van transporting the Gravitonium up to the end of the episode,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.22,Beginning of the End,,,,0:38:31,,0:40:13,,The Bus' ramp opening up to Billy Koenig asking Coulson where he'd like to start,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.22,Beginning of the End,,,,0:41:06,,0:42:18,,Coulson sleeping up to the end of the episode,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.22,Beginning of the End,,,,0:40:15,,0:41:03,,Raina visiting Dr. Calvin Zabo and telling him that she found his daughter,,,,,,,,,,,
,Captain America: The Winter Soldier,,,,,,,,,2:08:10,,2:09:38,,Mid-credits scene: Baron Wolfgang von Strucker and Dr. List discussing HYDRA and S.H.I.E.L.D. up to the reveal of the Maximoff twins,,,,,,,,,,,
,Captain America: The Winter Soldier,,,,,,,,,2:14:54,,2:15:27,,Post-credits scene: Bucky visiting the Smithsonian,,,,,,,,,,,
,Jessica Jones,,,,1.08,AKA WWJD?,,,,0:30:04,,0:30:18,,Flashback: Jessica Jones digging up the yellow flash drive for Kilgrave,,,,,,,,,,,
,Jessica Jones,,,,1.03,AKA It's Called Whiskey,,,,0:41:04,,0:42:28,,"Flashback: Kilgrave saying to Jessica ""Take care of her."" up to Jessica hearing a bus honking and turning around",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Kilgrave's dialogue begins at 0:41:01.,,,,,,,,,,,
,The Punisher,,,,1.03,Kandahar,,,,0:29:02,,0:31:38,,Flashback: Rawlins descending the stairs and interrogating Ahmad Zubair up to Castle and Gunner burying him,,,,,,,,,,APR,
,Agents of S.H.I.E.L.D.,,,,2.20,Scars,,,,0:00:48,,0:03:01,,Flashback: Up to Coulson checking in on Theta Protocol,,,,,,,,,,MAY,
,,,,,,,,,,,,,,"NOTE: ""Robot Tourist"" by Tam Nightingale begins at 0:00:46.",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.01,Shadows,,,,0:03:44,,0:42:20,,"Aerial view of Alexandria, VA, Skye repelling from a warehouse ceiling up to the end of the episode",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:06:14 and S.H.I.E.L.D. logo at 0:41:49,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.02,Heavy Is the Head,,,,0:00:48,,0:42:18,,Full episode,,,,,,,,,,JUN,
,,,,,,,,,,,,,,NOTE: Title at 0:02:13 and S.H.I.E.L.D. logo at 0:39:55,,,,,,,,,,,
,Luke Cage,,,,2.05,All Souled Out,,,,0:28:42,,0:30:33,,"Flashback: Misty Knight and Rafael Scarfe searching Cockroach Hamilton's apartment up to Misty telling Scarfe he was right and him saying ""Told ya we'd sniff it out.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Cockroach Hamilton's dialogue begins at 0:28:41.,,,,,,,,,,,
,Luke Cage,,,,2.05,All Souled Out,,,,0:44:17,,0:46:58,,Flashback: Scarfe approaching Misty's desk and pouring himself a drink up to Scarfe leaving for the night and Misty picking up the bottle of Jameson Irish Whiskey,,,,,,,,,,,
,Luke Cage,,,,2.05,All Souled Out,,,,0:49:26,,0:50:32,,"Flashback: Misty entering a holding cell where Scarfe is sitting crying up to Scarfe leaning forward onto the table and laying his head on his arm, crying",,,,,,,,,,,
,Daredevil,,,,1.10,Nelson v. Murdock,,,,0:33:46,,0:36:36,,Flashback: Meeting in a Landman and Zack conference room up to Matt and Foggy deciding to leave Landman and Zack and fist bumping,,,,,,,,,,AUG,
,,,,,,,,,,,,,,NOTE 1: Occurs sometime after Matt and Foggy's graduation from law school.,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: The dialogue of the lawyer who is speaking at the beginning of the scene begins at 0:33:45.,,,,,,,,,,,
,Daredevil,,,,1.10,Nelson v. Murdock,,,,0:41:13,,0:42:24,,Flashback: A rail worker walking down tracks up to Matt beginning to walk away after beating him,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: Occurs shortly after Matt and Foggy leave Landman and Zack.,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Matt's narration from 0:41:08 to 0:41:15 to Foggy in the present that sets up the flashback and has been left out.,,,,,,,,,,,
,Avengers: Endgame,,,,,,,,,1:11:52,,1:15:58,,"NOTE 1: The Avengers: Endgame 2014 ""Time Heist Timeline"" is detailed here.",,,,,,,,,,,EARTH-TRN734
,,,,,,,,,,,,,,"NOTE 2: Additional information on the ""Time Heist"" chronology can be found here.",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 3: This reality has been given the unofficial designation Earth-TRN734 by the Marvel Database.,,,,,,,,,,,
,,,,,,,,,,,,,,"""Morag 2014"" up to Thanos telling Gamora to bring Nebula to his ship",,,,,,,,,,,
,Avengers: Endgame,,,,,,,,,1:26:20,,1:28:19,,"Q-Ships docking with the Sanctuary II up to Thanos saying to Ebony Maw ""And scan the duplicates memories. I want to see everything."" and Nebula suspended, motionless",,,,,,,,,,,
,Guardians of the Galaxy,,,,,,,,,0:04:05,,0:06:28,,NOTE: This movie contains a flashback.,,,,,,,,,,,
,,,,,,,,,,,,,,"View of Morag from space up to Quill beginning to dance, swinging his hips",,,,,,,,,,,
,Avengers: Endgame,,,,,,,,,1:32:14,,1:36:56,,NOTE 1: The 2014 Time Heist events play out simultaneously to the opening credits sequence of Guardians of the Galaxy. The montage scenes of Quill dancing in both movies do not intercut well because the song does not line up. Following the theft of the Power Stone the timelines diverge dramatically so Guardians of the Galaxy picks back up following the Time Heist events from Avengers: Endgame.,,,,,,,,,,,EARTH-TRN734
,,,,,,,,,,,,,,Quill amongst the pillars (duplicate of the title shot from Guardians of the Galaxy) up to Nebula being beamed up,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 2: As stated, the playtime of ""Come and Get Your Love"" by Redbone does not much up with the previous clip from Guardians of the Galaxy.",,,,,,,,,,,
,Avengers: Endgame,,,,,,,,,1:46:32,,1:54:59,,The Sanctuary II moving through a space cloud up to Barton waking in a pool with the Soul Stone,,,,,,,,,,,
,Guardians of the Galaxy,,,,,,,,,0:06:28,,1:47:28,,Quill amongst the pillars up to Drax petting Rocket,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:06:29,,,,,,,,,,,
,Guardians of the Galaxy,,,,,,,,,2:00:03,,2:00:26,,Post-credits scene: The Collector and Howard the Duck,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Howard the Duck's dialogue ends at 02:00:32.,,,,,,,,,,,
,Guardians of the Galaxy,,,,,,,,,1:47:29,,1:54:03,,Aerial view of the Nova Corps Headquarters up to the end of the movie,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""The Guardians of the Galaxy Will Return"" message occurs at 1:53:10 while ""I Want You Back"" by The Jackson 5 plays.",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.03,Making Friends and Influencing People,,,,0:00:43,,0:42:21,,Full episode,,,,,,,,,,SEP,
,,,,,,,,,,,,,,NOTE: Title at 0:02:38 and S.H.I.E.L.D. logo at 0:39:55,,,,,,,,,,,
,Guardians of the Galaxy Vol. 2,,,,,,,,,0:02:52,,1:58:43,,NOTE: This movie contains a flashback.,,,,,,,,,,OCT,
,,,,,,,,,,,,,,View of The Sovereign from space up to Yondu's death,,,,,,,,,,,
,Guardians of the Galaxy Vol. 2,,,,,,,,,2:15:10,,2:15:26,,Post-credits scene: The Watcher Informant being left stranded by The Watchers,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: This scene just needs to occur after the Watcher Informant is interrupted at 01:24:01.,,,,,,,,,,,
,Guardians of the Galaxy Vol. 2,,,,,,,,,1:58:46,,2:07:03,,"Rocket lighting a candle, the Guardians preparing for Yondu's funeral up to the end of the movie",,,,,,,,,,,
,Guardians of the Galaxy Vol. 2,,,,,,,,,2:07:15,,2:07:47,,Pre-credits scene: Kraglin practicing with the Yaka Arrow,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Surrender"" by Cheap Trick plays in the background.",,,,,,,,,,,
,Guardians of the Galaxy Vol. 2,,,,,,,,,2:08:32,,2:08:55,,First mid-credits scene: Stakar Ogord with his crew,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Surrender"" by Cheap Trick plays in the background.",,,,,,,,,,,
,Guardians of the Galaxy Vol. 2,,,,,,,,,2:11:08,,2:11:54,,Second mid-credits scene: High Priestess Ayesha being summoned by the Sovereign Council after creating Adam's birthing pod,,,,,,,,,,,
,The Punisher,,,,1.03,Kandahar,,,,0:42:51,,0:52:53,,"Flashback: Castle reading birthday cards from his family up to Castle punching Rawlins in the eye, Russo talking to him alone then leaving and Castle quietly calling after him",,,,,,,,,,NOV,
,Agents of S.H.I.E.L.D.,,,,2.04,Face My Enemy,,,,0:00:52,,0:02:13,,Aerial view of a Miami beach up to the Words of Creation being revealed on the back of a painting,,,,,,,,,,DEC,
,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,Clips,,Movies,,Shows,,Episodes,,Approx. Runtime,,,,,,,
,,,,,,,,,,365,,4,,11,,43,,64:37:06,,,,,,,
,Daredevil,,,,1.10,Nelson v. Murdock,,,,0:52:46,,0:54:15,,"Flashback: Matt and Foggy at Josie's, Foggy drawing the sign for their new law firm on a napkin up to them clinking glasses and spilling on the napkin",,,,,,,,,,JAN,
,,,,,,,,,,,,,,NOTE: Occurs after Matt and Foggy have left Landman and Zack.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.04,Face My Enemy,,,,0:02:16,,0:39:02,,"Aerial view of South Beach, FL up to May agreeing to kill Coulson if worse come to worst",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.05,A Hen in the Wolf House,,,,0:00:44,,0:02:23,,Up to Sunil Bakshi speaking with the undercover HYDRA Agents via video chat,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: The Best Man's dialogue begins at 0:00:41.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.04,Face My Enemy,,,,0:39:08,,0:41:10,,Raina exiting a building on her phone up to Whitehall leaving Raina,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.05,A Hen in the Wolf House,,,,0:02:26,,0:32:04,,The team walking through the base and discussing the attack at the wedding up to Raina leaving the restaurant and Hunter closing the door,,,,,,,,,,,
,Daredevil,,,,1.01,Into the Ring,,,,0:01:37,,0:04:56,,NOTE 1: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,Matt Murdock at confession,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: A woman's cry for help comes in early at 0:04:55.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.05,A Hen in the Wolf House,,,,0:32:04,,0:40:47,,"May saying ""The address Raina gave us is only a few blocks away."" up to Coulson bringing Skye in on his carving of the Words of Creation",,,,,,,,,,,
,Daredevil,,,,1.01,Into the Ring,,,,0:04:57,,0:16:57,,Human traffickers dragging a group of women toward a shipping container up to Matt listening to Karen's heartbeat and saying he believes her,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: One of the women's cries for help begins at 0:04:55.,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Title at 0:07:36,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.05,A Hen in the Wolf House,,,,0:40:53,,0:42:22,,"Bakshi saying Whitehall ""The lab should be dismantled within the hour."" up to the end the episode",,,,,,,,,,,
,Daredevil,,,,1.01,Into the Ring,,,,0:16:57,,0:41:13,,Clyde Farnum eating lunch outside and Wesley joining him up to Matt getting knocked down by Rance,,,,,,,,,,,
,Daredevil,,,,1.01,Into the Ring,,,,0:42:43,,0:51:31,,Matt getting up up to the end of the episode,,,,,,,,,,,
,Daredevil,,,,1.03,Rabbit in a Snowstorm,,,,0:01:30,,0:02:09,,Flashback: Turk Barrett lifting the lid off a crate of handguns and giving his sales pitch to John Healy,,,,,,,,,,,
,Daredevil,,,,1.02,Cut Man,,,,0:00:14,,0:04:29,,NOTE: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,Up to Matt falling unconscious in Claire Temple's apartment,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: Title at 0:01:05,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Audio from the TV broadcast of Jack Murdock's boxing match comes in early at 0:04:26.,,,,,,,,,,,
,Daredevil,,,,1.02,Cut Man,,,,0:08:56,,0:13:45,,"Exterior of the Nelson and Murdock office and Foggy singing in the office up to Matt on Claire's couch, her naming him ""Mike"", Matt thanking her and her getting up",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Hospital machine noises come in early at 0:13:44.,,,,,,,,,,,
,Daredevil,,,,1.02,Cut Man,,,,0:14:27,,0:18:30,,"Matt waking up unable to breathe up to Claire saying ""All I know is you're very good at taking a beating."" and Matt saying ""That part I got from my dad.""",,,,,,,,,,,
,Daredevil,,,,1.02,Cut Man,,,,0:22:18,,0:32:03,,"Matt getting a knife in the kitchen up to Matt and conversing with Claire on the roof after tying Semyon, a member of the Russian mafia, up to the water tower",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Young Matt's dialogue comes in early at 0:32:00.,,,,,,,,,,,
,Daredevil,,,,1.02,Cut Man,,,,0:35:52,,0:43:20,,Foggy and Karen banging on Matt's door up to Matt leaving Claire to go rescue the boy,,,,,,,,,,,
,Daredevil,,,,1.02,Cut Man,,,,0:45:40,,0:51:12,,Hallway fight up to the end of the episode,,,,,,,,,,,
,Daredevil,,,,1.03,Rabbit in a Snowstorm,,,,0:00:14,,0:01:25,,"Up to Healy pointing his gun at Prohaszka and saying ""You've got a bad attitude friend.""",,,,,,,,,,,
,Daredevil,,,,1.03,Rabbit in a Snowstorm,,,,0:02:09,,0:50:34,,Healy's gun jamming up to the end of the episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:03:47,,,,,,,,,,,
,Daredevil,,,,1.04,In the Blood,,,,0:02:06,,0:50:50,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:43,,,,,,,,,,,
,Daredevil,,,,1.05,World of Fire,,,,0:00:14,,0:54:14,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:08:28,,,,,,,,,,,
,Daredevil,,,,1.06,Condemned,,,,0:00:14,,0:46:45,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:15,,,,,,,,,,,
,Daredevil,,,,1.07,Stick,,,,0:00:13,,0:10:39,,NOTE: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,"Up to Stick arriving and asking ""You just gonna lie there all night?""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:27,,,,,,,,,,,
,Daredevil,,,,1.07,Stick,,,,0:17:23,,0:24:46,,Matt getting up up to Matt grabbing Stick but being twisted around into a hold,,,,,,,,,,,
,Daredevil,,,,1.07,Stick,,,,0:27:06,,0:39:00,,Matt flipping himself out of Stick's hold up to Matt finishing off the Hand members still left at the docks,,,,,,,,,,,
,Daredevil,,,,1.07,Stick,,,,0:41:26,,0:48:44,,Matt entering his apartment from the roof entrance up to the end of episode,,,,,,,,,,,
,Daredevil,,,,1.08,Shadows in the Glass,,,,0:00:14,,0:11:23,,NOTE: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,Up to Nobu leaving Fisk and Wesley and Fisk saying when things are going well it's best to be cautious,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:03:10,,,,,,,,,,,
,Daredevil,,,,1.08,Shadows in the Glass,,,,0:14:40,,0:26:13,,Fisk on the phone with Vanessa in his apartment up to Owlsley putting on his suit jacket and leaving Fisk,,,,,,,,,,,
,Daredevil,,,,1.08,Shadows in the Glass,,,,0:29:35,,0:35:14,,Fisk waking up up to Fisk flipping his table,,,,,,,,,,FEB,
,Daredevil,,,,1.08,Shadows in the Glass,,,,0:36:35,,0:38:32,,"Fisk staring out his window up to Vanessa saying ""Tell me.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Fisk's traumatic memories involving the beating of his mother and his murdering of his father bookend this scene. Audio from the flashbacks fade-out at the beginning of the scene and fade-in at the end of the scene.,,,,,,,,,,,
,Daredevil,,,,1.08,Shadows in the Glass,,,,0:41:06,,0:51:41,,Fisk rubbing his father's cufflink and sharing the story of the murder of his father with Vanessa up to the end of the episode,,,,,,,,,,,
,Daredevil,,,,1.09,Speak of the Devil,,,,0:02:44,,0:33:06,,NOTE: This episode is structured non-chronologically. Matt's fight with Nobu is spread throughout the episode.,,,,,,,,,,,
,,,,,,,,,,,,,,"Matt sitting on a bench and meeting with Father Lantom up to Matt, Foggy and Karen identifying Elena Cardenas' body and Matt gripping his cane tightly",,,,,,,,,,,
,Daredevil,,,,1.09,Speak of the Devil,,,,0:34:11,,0:46:36,,"Police car with sirens going, Matt, Foggy and Karen at Josie's up to Matt beginning his Fight with Nobu and Matt getting punched in the face",,,,,,,,,,,
,Daredevil,,,,1.09,Speak of the Devil,,,,0:00:14,,0:01:42,,Fight with Nobu: Continuation of Matt getting punched in the face up to Nobu pulling his weapon from the table,,,,,,,,,,,
,Daredevil,,,,1.09,Speak of the Devil,,,,0:46:36,,0:48:26,,"Foggy and Karen at Josie's, Foggy knocking over the bottle up to Karen saying ""The only thing you can. You make them pay.""",,,,,,,,,,,
,Daredevil,,,,1.09,Speak of the Devil,,,,0:33:07,,0:34:10,,Fight with Nobu: Matt standing up up to being dragged by Nobu,,,,,,,,,,,
,Daredevil,,,,1.09,Speak of the Devil,,,,0:48:29,,0:55:53,,NOTE: This scene begins with Nobu starting to drag Matt. The shot sequence is slightly different than what was previously shown.,,,,,,,,,,,
,,,,,,,,,,,,,,Fight with Nobu: Continuation of Matt being dragged up to the end of the episode,,,,,,,,,,,
,Daredevil,,,,1.10,Nelson v. Murdock,,,,0:00:14,,0:01:58,,NOTE: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,"Up to Foggy asking Matt ""Are you even really blind?""",,,,,,,,,,,
,Daredevil,,,,1.10,Nelson v. Murdock,,,,0:05:23,,0:20:16,,"Foggy standing up up to Foggy asking Matt ""Was anything was ever real with us?""",,,,,,,,,,,
,Daredevil,,,,1.10,Nelson v. Murdock,,,,0:24:50,,0:33:44,,"Ben Urich in his office looking at a hospice brochure up to Matt saying to Foggy ""Sometimes the law isn't enough.""",,,,,,,,,,,
,Daredevil,,,,1.10,Nelson v. Murdock,,,,0:36:37,,0:50:30,,NOTE: This clip includes the flashback of Matt going out for the first time because he is telling the story to Foggy.,,,,,,,,,,,
,,,,,,,,,,,,,,Foggy looking out the window up to Vanessa being poisoned,,,,,,,,,,,
,Daredevil,,,,1.11,The Path of the Righteous,,,,0:00:14,,0:01:33,,Up to the nurse leaving Fisk and the doors closing behind her,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: TV audio begins at 0:00:12.,,,,,,,,,,,
,Daredevil,,,,1.10,Nelson v. Murdock,,,,0:50:31,,0:52:46,,Matt feeling one of his cuts up to Foggy leaving,,,,,,,,,,,
,Daredevil,,,,1.10,Nelson v. Murdock,,,,0:54:18,,0:54:53,,Foggy picking up the Nelson and Murdock sign up to the end of the episode,,,,,,,,,,,
,Daredevil,,,,1.11,The Path of the Righteous,,,,0:02:34,,0:57:05,,"Knocking on Matt's door, Matt getting up from his chair up to the end of the episode",,,,,,,,,,,
,Daredevil,,,,1.12,The Ones We Leave Behind,,,,0:00:14,,0:57:59,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:03:42,,,,,,,,,,,
,Daredevil,,,,1.13,Daredevil,,,,0:00:14,,0:53:05,,Up to Karen and Matt entering the building of Nelson and Murdock,,,,,,,,,,,
